TEAM_ID,NICKNAME,LEAGUE_ID,SEASON_ID,STANDINGSDATE,CONFERENCE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD
1610612740,Pelicans,0,22019,2020-01-02,West,New Orleans,34,11,23,324,6-11,5-12
1610612740,Pelicans,0,22019,2020-01-01,West,New Orleans,34,11,23,324,6-11,5-12
1610612764,Warriors,0,22019,2020-01-16,East,Washington,40,13,27,325,8-11,5-16
1610612764,Warriors,0,22019,2020-01-15,East,Washington,40,13,27,325,8-11,5-16
1610612750,Warriors,0,22019,2020-01-26,West,Minnesota,46,15,31,326,6-17,9-14
1610612750,Warriors,0,22019,2020-01-25,West,Minnesota,46,15,31,326,6-17,9-14
1610612764,Warriors,0,22019,2020-01-29,East,Washington,46,15,31,326,9-11,6-20
1610612764,Warriors,0,22019,2020-01-28,East,Washington,46,15,31,326,9-11,6-20
1610612766,Warriors,0,22019,2020-01-27,East,Charlotte,46,15,31,326,7-15,8-16
1610612766,Warriors,0,22019,2020-01-26,East,Charlotte,46,15,31,326,7-15,8-16
1610612766,Warriors,0,22019,2020-01-25,East,Charlotte,46,15,31,326,7-15,8-16
1610612766,Warriors,0,22019,2020-01-24,East,Charlotte,46,15,31,326,7-15,8-16
1610612764,Warriors,0,22019,2020-01-22,East,Washington,43,14,29,326,9-11,5-18
1610612766,Warriors,0,22019,2020-02-02,East,Charlotte,49,16,33,327,8-15,8-18
1610612766,Warriors,0,22019,2020-02-01,East,Charlotte,49,16,33,327,8-15,8-18
1610612765,Warriors,0,22019,2020-02-29,East,Detroit,61,20,41,328,11-20,9-21
1610612765,Warriors,0,22019,2020-02-28,East,Detroit,61,20,41,328,11-20,9-21
1610612765,Warriors,0,22019,2020-02-22,East,Detroit,58,19,39,328,11-20,8-19
1610612765,Warriors,0,22019,2020-02-21,East,Detroit,58,19,39,328,11-20,8-19
1610612765,Warriors,0,22019,2020-02-20,East,Detroit,58,19,39,328,11-20,8-19
1610612741,Bulls,0,22019,2020-03-01,East,Chicago,60,20,40,333,12-19,8-21
1610612741,Bulls,0,22019,2020-02-29,East,Chicago,60,20,40,333,12-19,8-21
1610612741,Bulls,0,22019,2020-02-22,East,Chicago,57,19,38,333,11-18,8-20
1610612765,Warriors,0,22019,2020-02-19,East,Detroit,57,19,38,333,11-19,8-19
1610612765,Warriors,0,22019,2020-02-18,East,Detroit,57,19,38,333,11-19,8-19
